Category,Year,Total,Goods_BOP,Services
Total,1960,3508,4892,-1385
Total,1961,4194,5571,-1377
Total,1962,3371,4521,-1151
Total,1963,4210,5224,-1014
Total,1964,6022,6801,-780
Total,1965,4664,4951,-287
Total,1966,2939,3817,-878
Total,1967,2604,3800,-1196
Total,1968,250,635,-385
Total,1969,90,607,-517
Total,1970,2255,2603,-348
Total,1971,-1301,-2260,959
Total,1972,-5443,-6416,973
Total,1973,1900,911,989
Total,1974,-4293,-5505,1212
Total,1975,12403,8903,3500
Total,1976,-6082,-9483,3402
Total,1977,-27247,-31091,3845
Total,1978,-29763,-33927,4164
Total,1979,-24566,-27568,3003
Total,1980,-19407,-25500,6093
Total,1981,-16172,-28023,11851
Total,1982,-24156,-36485,12330
Total,1983,-57767,-67102,9335
Total,1984,-109074,-112492,3418
Total,1985,-121879,-122173,294
Total,1986,-138539,-145081,6543
Total,1987,-151683,-159557,7874
Total,1988,-114566,-126959,12394
Total,1989,-93142,-117749,24607
Total,1990,-80865,-111037,30173
Total,1991,-31136,-76937,45802
Total,1992,-39212,-96897,57685
Total,1993,-70311,-132451,62141
Total,1994,-98493,-165831,67338
Total,1995,-96384,-174170,77786
Total,1996,-104065,-191000,86935
Total,1997,-108273,-198428,90155
Total,1998,-166140,-248221,82081
Total,1999,-255809,-337068,81258
Total,2000,-369686,-446783,77096
Total,2001,-360373,-422370,61997
Total,2002,-420666,-475245,54579
Total,2003,-496243,-541643,45401
Total,2004,-610838,-664766,53927
Total,2005,-716542,-782804,66262
Total,2006,-763533,-837289,73756
Total,2007,-710997,-821196,110199
Total,2008,-712350,-832492,120142
Total,2009,-394771,-509694,114923
Total,2010,-503087,-648671,145584
Total,2011,-554522,-740999,186477
Total,2012,-525906,-741119,215213
Total,2013,-446829,-700539,253710
Total,2014,-484144,-749917,265773
Total,2015,-491261,-761868,270607
Total,2016,-481169,-749801,268632
Total,2017,-513791,-799343,285552
Total,2018,-579937,-880301,300364
Total,2019,-576865,-864331,287466
Total,2020,-681700,-915570,233870
