Name,Value2011,Value2012,Value2013,Value2014,Value2015,Value2016,Value2017,Value2018,Value2019,Value2020
(00000) Wheat,11307755,8343707,10668357,7908281,5792930,5536723,6219616,5585111,6412524,6466962
(00010) Rice,2233784,2155275,2304988,2129640,2131554,1915511,1832972,1813530,1997747,2015910
(00100) Soybeans,18086113,26157536,22980698,25124126,19759774,23616873,22229104,18146124,19642064,26868405
"(00110) Oilseeds, food oils",3298100,3251400,2999092,2838405,2732312,2737747,2847062,2676480,2495813,2723646
(00200) Corn,14820359,10538991,7769680,11937903,9383179,10873241,10162952,13517138,8619639,10170549
"(00210) Sorghum, barley, oats",1054388,596904,629937,1807362,2388987,1382458,1130074,866437,622420,1471465
"(00220) Animal feeds, n.e.c.",6792077,8079791,8980419,9000664,8611757,8202342,8232965,9071898,8793091,9379849
"(00300) Meat, poultry, etc.",17143934,18019088,18464796,20069042,16625719,16883390,18837559,19904257,20261604,20502160
(00310) Dairy products and eggs,4042142,4224161,5755030,6190046,4417313,3862334,4454503,4593109,4961338,5454390
"(00320) Fruits, frozen juices",8821102,9250533,9498305,9396389,8869703,8641702,8839925,8774941,8402899,8118414
(00330) Vegetables,5874086,6217169,6755429,6988254,6806929,6996860,7049281,6764228,7021162,6821921
(00340) Nuts,5808531,7031159,8468111,8809974,9240385,8853106,9251088,9269732,9844324,9277946
(00350) Bakery products,5598845,6192895,6481291,6482837,6350298,6315401,6140468,6269835,6245672,5739619
(00360) Other foods,10695800,11941614,12829827,14488639,14111456,14416483,14699175,15045396,15691135,15653769
"(00370) Wine, beer, and related products",1770907,1885134,2141252,2103004,2268556,2294681,2292867,2227491,2164196,2033912
(01000) Fish and shellfish,5703758,5657735,5824191,5977775,5775925,5640585,5942190,5833617,5446133,4572718
"(01010) Alcoholic beverages, excluding wine",1727999,1898759,1917883,2022253,2017582,1913721,2150974,2337631,2083821,2012196
"(01020) Nonagricultural foods, etc.",1467096,1607319,1693755,446615,436220,431992,447788,432174,397220,438787
"(10000) Cotton, raw",8467841,6253750,5629604,4412322,3902832,3967648,5845639,6561949,6148567,5978046
"(10100) Tobacco, unmanufactured",1122007,1107693,1183876,1117534,1130570,1115864,1086247,1044738,741084,677526
(10120) Hides and skins,2663995,2785288,3136304,2931449,2441485,1966091,1918868,1461371,1049183,838841
(10130) Agric. industry-unmanufactured,4481918,4618075,5003610,4908070,4648270,3766808,3699495,4259860,4022968,4294254
(10140) Agric. farming-unmanufactured,2921733,3292393,3340464,3318377,3100602,3166985,3429354,3630111,3357762,3148024
"(10150) Agriculture-manufactured, other",2603805,2791589,2797389,3040606,2965303,3012891,3178980,3365245,3375597,3485028
(11010) Metallurgical grade coal,13011987,10661508,7787250,6064075,4191604,3578481,7470955,8729977,7435445,4553814
"(11020) Coal and fuels, other",3793373,7113470,6527032,5812298,4664677,4150812,6337305,7692491,6502397,5432995
(11100) Crude oil,2061866,2499915,4905421,11618531,7880311,9342819,22680799,48002741,65015808,50260542
(11110) Fuel oil,52918588,59890998,64675680,59816832,36361632,29216988,38176971,43176874,40919118,27630897
"(11120) Petroleum products, other",54656438,56752177,60868501,63144412,45792239,40957369,49192509,63990930,55964711,40462711
(11130) Natural gas liquids,4069998,4317862,6972453,10657125,8058089,9332229,15592179,19577314,17530268,16203543
(11200) Gas-natural,6439250,4918913,6070892,7672203,4772428,4611417,8170999,10577772,15425808,18671642
(11300) Nuclear fuel materials,2695300,1866354,1227131,1093207,1628040,879408,916012,762533,584272,791401
(11400) Electric energy,374637,233067,356160,564140,241128,193255,186602,392740,435540,197102
(12000) Steelmaking materials,14854669,12501720,10658569,9389700,5752754,4947787,6795558,8372978,7898277,6936425
(12100) Iron and steel mill products,12502927,12253845,11137839,11331120,9488965,8411963,10018521,9242395,7910027,6563740
"(12110) Iron and steel products, other",7136864,7535166,7358610,7645759,6860588,6060588,6540879,6813579,6289920,5276260
(12200) Aluminum and alumina,9524167,9279403,9386759,8916763,8240198,8467082,7860128,8735788,7363165,6151093
(12210) Copper,8488430,8740748,8562063,8757361,7290969,6186145,6171728,7304756,7007209,6388214
(12260) Nonmonetary gold,33985486,36599536,33152870,22047948,20895786,20142575,21021103,21438025,18669342,23277685
"(12270) Precious metals, other",11195456,8715240,7390143,7582310,6320859,5700153,6635362,8696757,10237795,17791746
"(12290) Nonferrous metals, other",8888029,7867795,6990635,8076527,7447054,7613151,8444716,8698831,8005780,6197679
(12300) Finished metal shapes,18022491,19499568,20125094,21020421,19648425,18006643,18582916,20157680,20038098,17711059
(12420) Pulpwood and woodpulp,10143396,9365563,9076016,9049515,8804225,8477510,8776558,9406447,8488506,7631897
(12430) Newsprint,13506719,13165277,13413478,13455513,12937251,12346575,13272802,13995978,12754035,11734256
(12500) Plastic materials,36062915,35297880,36319290,36944063,34155758,32550762,34730628,38126333,37458903,34291357
(12510) Chemicals-fertilizers,9985818,9436127,9666698,9504464,8717518,7454635,8289808,8847938,8672861,8309506
(12530) Chemicals-inorganic,8888077,8917996,9116656,9229188,8830702,8187130,9200449,9993617,9482506,9018196
(12540) Chemicals-organic,39568652,35578969,35051361,33173616,30018859,26307320,28338938,31331866,28667709,26678637
(12550) Chemicals-other,28825610,29513968,30346540,30323800,29532896,29306707,31430520,33527191,33347302,33098974
(12600) Cotton fiber cloth,3228491,2562275,2500013,2525495,2301921,2052256,2116278,2138501,2082551,1265996
(12620) Manmade cloth,6799763,6938676,7220026,7360179,6975597,6628352,6604743,6791310,6610117,5644060
"(12630) Hair, waste materials",661784,628480,659833,661173,687654,620130,633226,616154,597627,481026
(12640) Finished textile supplies,2665306,2757928,3019780,3228327,3170117,3026319,3168109,3189482,2940671,2594321
(12650) Leather and furs,1045322,1015355,1273897,1430402,1231523,1109027,1025851,915876,774326,550593
(12700) Synthetic rubber-primary,4917657,4761896,4102274,3987868,3369984,3235319,3582759,3578943,3083834,2583502
(12720) Nonmetallic minerals,904119,1023396,872414,1005415,910371,798646,978146,1023357,791584,619413
(12750) Industrial rubber products,4327053,4949693,4981421,5278159,4996152,4315358,4611312,4757062,4624613,4094408
(12760) Mineral supplies-manufactured,5569058,5313823,5582470,5923334,5966901,5921908,6418396,6942117,6777233,5927813
"(12765) Tapes, audio and visual",547678,359095,284022,233548,193702,168396,167827,129090,165452,94140
(12770) Other industrial supplies,23080593,23763315,24778031,26024305,26456793,26117512,27047981,28335857,27707884,25598738
(13100) Logs and lumber,5638686,5444683,6301762,6878460,5893963,6180820,7074089,6896437,5231460,4842692
"(13110) Wood supplies, manufactured",1349481,1427653,1412608,1435666,1238979,1126016,1051622,1110574,1124126,991943
"(13200) Glass-plate, sheet, etc.",1608839,1523063,1650188,1618930,1517917,1518745,1396122,1360630,1339437,1193172
"(13210) Shingles, molding, wallboard",4538562,4736713,4740712,4970711,4811714,4470015,4724970,4966864,4602407,4049578
(13220) Nontextile floor tiles,553410,593812,591883,627916,575189,555641,564837,534853,528829,429959
