Name,Value2011,Value2012,Value2013,Value2014,Value2015,Value2016,Value2017,Value2018,Value2019,Value2020
(00000) Green coffee,6906364,5807726,4669941,5228605,5119896,4787498,5181513,4662597,4618523,4425434
(00010) Cocoa beans,1424902,996081,1110630,1312308,1429136,1293834,1188573,961208,905119,995716
(00020) Cane and beet sugar,2789693,2279516,1589150,1604811,1741016,1770688,1658051,1595324,1584631,2011230
(00100) Meat products,7710549,8524837,8821833,12083915,12791917,10734811,11004975,11378247,11951721,12540822
(00110) Dairy products and eggs,1585701,1689623,1744197,1954718,2136855,2020208,1947734,2136271,2263725,2195574
"(00120) Fruits, frozen juices",11687023,12259964,13166698,14631272,15814697,17069272,18267821,19426950,20200342,20354706
(00130) Vegetables,9699434,9943706,10746453,10945745,11305986,12474025,12753402,13574659,14108657,15751292
(00140) Nuts,1883761,2008684,2019859,2385382,2802168,2904251,3329890,3534217,3225234,2863672
"(00150) Food oils, oilseeds",6247286,5932353,6334255,7004704,6049171,6221938,6853472,6715769,5986409,6294486
(00160) Bakery products,8482687,8813830,8981590,9341517,9645791,10733411,11124737,11828160,12633849,12945478
"(00170) Tea, spices, etc.",1753348,1851713,1987785,2143364,2413617,2494849,2639283,2613679,2542362,2563741
(00180) Other foods,10554584,11478030,12159710,12438656,13239411,13292239,14390414,18151178,19189641,20978965
"(00190) Wine, beer, and related products",8533194,8913637,9128038,9706953,10166393,10675160,11275094,11847092,12191739,12038721
(00200) Feedstuff and foodgrains,4602327,5868804,6961862,6683179,6135014,5536770,5842892,6651969,6514896,7016644
(01000) Fish and shellfish,16575259,16621795,17912264,20231154,18673933,19438876,21536357,22496391,22027581,21476601
"(01010) Alcoholic beverages, excluding wine",6297280,6561153,6966180,7121742,7276336,7681019,7871200,8610346,9418498,8808484
"(01020) Nonagricultural foods, etc.",729688,719879,824847,1059517,1056437,884390,966346,1150996,1147260,1134717
(10000) Crude oil,331582054,313174962,272807177,246407742,125827146,101300463,132552882,156810142,126562195,76338054
(10010) Fuel oil,46878848,45511224,44332681,40061337,22836344,16511948,20462107,28166364,25903631,16096177
"(10020) Petroleum products, other",50918067,50116224,48378295,43553861,31299271,26664737,30225923,36974941,38574702,22062211
(10030) Liquefied petroleum gases,9963079,6366286,4160379,3980513,2018302,2128084,3257514,3330527,2758323,1924215
(10100) Coal and related fuels,2944161,3258001,3327650,2071654,2224805,3079049,2277284,1628677,1921909,1859427
(10110) Gas-natural,13533118,8621801,10308807,13790089,7934228,6338855,7515054,7389207,6867763,4939728
(10300) Nuclear fuel materials,5657684,4664894,4326105,3705339,3249521,3845668,2871810,2902539,2946535,2509227
