Period,Categories,Value
2020,Foods,139726
2019,Foods,131103
2018,Foods,133129
2017,Foods,132761
2016,Foods,130515
2015,Foods,127721
2014,Foods,143721
2013,Foods,136163
2012,Foods,133049
2011,Foods,126247
2010,Foods,107719
2009,Foods,93908
2008,Foods,108349
2007,Foods,84264
2006,Foods,65962
2005,Foods,58955
2020,Industrial Supplies,470569
2019,Industrial Supplies,529782
2018,Industrial Supplies,541204
2017,Industrial Supplies,465160
2016,Industrial Supplies,397270
2015,Industrial Supplies,427020
2014,Industrial Supplies,505809
2013,Industrial Supplies,508206
2012,Industrial Supplies,501177
2011,Industrial Supplies,501077
2010,Industrial Supplies,391662
2009,Industrial Supplies,296508
2008,Industrial Supplies,388033
2007,Industrial Supplies,316377
2006,Industrial Supplies,276045
2005,Industrial Supplies,233045
2020,Capital Goods,460390
2019,Capital Goods,547869
2018,Capital Goods,563137
2017,Capital Goods,533423
2016,Capital Goods,519744
2015,Capital Goods,539542
2014,Capital Goods,551493
2013,Capital Goods,534411
2012,Capital Goods,527178
2011,Capital Goods,493956
2010,Capital Goods,447537
2009,Capital Goods,391242
2008,Capital Goods,457655
2007,Capital Goods,433019
2006,Capital Goods,404026
2005,Capital Goods,358426
2020,Automotive Vehicles,127200
2019,Automotive Vehicles,162468
2018,Automotive Vehicles,158836
2017,Automotive Vehicles,157867
2016,Automotive Vehicles,150398
2015,Automotive Vehicles,151894
2014,Automotive Vehicles,159812
2013,Automotive Vehicles,152661
2012,Automotive Vehicles,146158
2011,Automotive Vehicles,133036
2010,Automotive Vehicles,112008
2009,Automotive Vehicles,81715
2008,Automotive Vehicles,121451
2007,Automotive Vehicles,121264
2006,Automotive Vehicles,107263
2005,Automotive Vehicles,98406
2020,Consumer Goods,174862
2019,Consumer Goods,205681
2018,Consumer Goods,206031
2017,Consumer Goods,197713
2016,Consumer Goods,193657
2015,Consumer Goods,197747
2014,Consumer Goods,199003
2013,Consumer Goods,188823
2012,Consumer Goods,181683
2011,Consumer Goods,175304
2010,Consumer Goods,165228
2009,Consumer Goods,149455
2008,Consumer Goods,161281
2007,Consumer Goods,145975
2006,Consumer Goods,129081
2005,Consumer Goods,115285
2020,Other Goods,58863
2019,Other Goods,66258
2018,Other Goods,63351
2017,Other Goods,60272
2016,Other Goods,59876
2015,Other Goods,59404
2014,Other Goods,62035
2013,Other Goods,58254
2012,Other Goods,56575
2011,Other Goods,52888
2010,Other Goods,54341
2009,Other Goods,43215
2008,Other Goods,50673
2007,Other Goods,47300
2006,Other Goods,43589
2005,Other Goods,36964
