State,Value_2017,Value_2018,Value_2019,Value_2020,2017 % Share,2018 % Share,2019 % Share,2020 % Share
Alabama,23595,26185,28428,25512,1.0,1.0,1.1,1.1
Alaska,1721,1902,2289,2387,0.1,0.1,0.1,0.1
Arizona,20513,22355,26553,25686,0.9,0.9,1.1,1.1
Arkansas,9292,11506,9630,8639,0.4,0.5,0.4,0.4
California,440223,440698,408281,396022,18.8,17.4,16.3,16.9
Colorado,12946,13509,13114,12028,0.6,0.5,0.5,0.5
Connecticut,18669,19845,20073,17973,0.8,0.8,0.8,0.8
Delaware,7659,8898,9514,9112,0.3,0.4,0.4,0.4
Columbia,480,761,679,540,0.0,0.0,0.0,0.0
Florida,75331,80568,81718,76460,3.2,3.2,3.3,3.3
Georgia,91256,98630,102077,98939,3.9,3.9,4.1,4.2
Hawaii,3809,4523,3783,1934,0.2,0.2,0.2,0.1
Idaho,5643,6883,5126,5498,0.2,0.3,0.2,0.2
Illinois,135898,156814,163762,155992,5.8,6.2,6.6,6.7
Indiana,54396,61687,64574,63889,2.3,2.4,2.6,2.7
Iowa,9145,10712,10050,8967,0.4,0.4,0.4,0.4
Kansas,10784,12287,12164,10483,0.5,0.5,0.5,0.4
Kentucky,47003,54416,56847,54945,2.0,2.1,2.3,2.4
Louisiana,37688,39996,29388,20774,1.6,1.6,1.2,0.9
Maine,3299,3848,4635,4752,0.1,0.2,0.2,0
Maryland,32293,35124,35487,30645,1.4,1.4,1.4,1.3
Massachusetts,34498,35560,36490,35023,1.5,1.4,1.5,1.5
Michigan,140036,146378,142334,115952,6.0,5.8,5.7,5.0
Minnesota,29636,32827,29898,28151,1.3,1.3,1.2,1.2
Mississippi,14918,16560,16985,15799,0.6,0.7,0.7,0.7
Missouri,18777,20568,20535,18760,0.8,0.8,0.8,0.8
Montana,4304,4693,4654,3955,0.2,0.2,0.2,0.2
Nebraska,3754,4444,4267,3733,0.2,0.2,0.2,0.2
Nevada,12274,11783,10962,12917,0.5,0.5,0.4,0.6
New Hampshire,11350,12489,10523,6937,0.5,0.5,0.4,0.3
New Jersey,112615,127826,126225,114914,4.8,5.0,5.1,4.9
New Mexico,2277,2559,4450,4586,0.1,0.1,0.2,0.2
New York,126570,137034,132767,153833,5.4,5.4,5.3,6.6
North Carolina,47480,53253,59524,61164,2.0,2.1,2.4,2.6
North Dakota,2733,3360,3422,2857,0.1,0.1,0.1,0.1
Ohio,67482,70075,68972,65516,2.9,2.8,2.8,2.8
Oklahoma,9695,11235,11835,10823,0.4,0.4,0.5,0.5
Oregon,18300,20021,18666,17367,0.8,0.8,0.7,0.7
Pennsylvania,83211,88471,89937,84793,3.6,3.5,3.6,3.6
Rhode Island,9351,10522,11582,8799,0.4,0.4,0.5,0.4
South Carolina,37450,40123,42301,40099,1.6,1.6,1.7,1.7
South Dakota,1099,1113,1148,1263,0.0,0.0,0.0,0.1
Tennessee,78749,85993,87187,83704,3.4,3.4,3.5,3.6
Texas,262584,303754,294900,247954,11.2,12.0,11.8,10.6
Utah,13896,15137,15258,15550,0.6,0.6,0.6,0.7
Vermont,3590,3444,3922,2642,0.2,0.1,0.2,0.1
Virginia,29063,29374,30022,28952,1.2,1.2,1.2,1.2
Washington,49819,54701,52839,48912,2.1,2.2,2.1,2.1
West Virginia,3396,3408,3513,2912,0.1,0.1,0.1,0.1
Wisconsin,27680,30887,28440,26846,1.2,1.2,1.1,1.1
Wyoming,858,1084,1475,1092,0.0,0.0,0.1,0.0
